Tipo,Fecha,Detonante,Fuente,Incertidum,Numeracion,Cluster,Margenes,Nacimiento,Vias_Princ,Vias_Secun,Sin_Clasif,Geohazards,SIMMA,Categoria
Debris Flow,2001-12-07,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-12-07,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-12-07,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-12-07,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-10-14,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-10-14,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-12-07,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-01-06,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2007-08-12,Rainfall,Noticiero Hora 13,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2007-06-30,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-05-16,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-05-21,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-05-16,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-05-24,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2005-05-15,Rainfall,Periódico El Mundo,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-08-08,Rainfall,Bomberos Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1989-05-03,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
